Name,Runtime,num_epochs,activation_fn,data_augm_level,latent_size,loss_fn,vae_beta_norm,variational,hpatches_overall,matching_overall,retrieval_overall,verification_overall,hpatches_norm_mean,matching_norm,retrieval_norm,verification_norm,mse,psnr,ssim,loss,matching.e,matching.h,matching.t,retrieval.e.100,retrieval.e.1000,retrieval.e.10000,retrieval.e.15000,retrieval.e.20000,retrieval.e.500,retrieval.e.5000,retrieval.e.mean,retrieval.h.100,retrieval.h.1000,retrieval.h.10000,retrieval.h.15000,retrieval.h.20000,retrieval.h.500,retrieval.h.5000,retrieval.h.mean,retrieval.mean.100,retrieval.mean.1000,retrieval.mean.10000,retrieval.mean.15000,retrieval.mean.20000,retrieval.mean.500,retrieval.mean.5000,retrieval.t.100,retrieval.t.1000,retrieval.t.10000,retrieval.t.15000,retrieval.t.20000,retrieval.t.500,retrieval.t.5000,retrieval.t.mean,verification.e.inter.balanced.auc,verification.e.inter.imbalanced.ap,verification.e.intra.balanced.auc,verification.e.intra.imbalanced.ap,verification.h.inter.balanced.auc,verification.h.inter.imbalanced.ap,verification.h.intra.balanced.auc,verification.h.intra.imbalanced.ap,verification.mean.inter.balanced.auc,verification.mean.inter.imbalanced.ap,verification.mean.inter.mean,verification.mean.intra.balanced.auc,verification.mean.intra.imbalanced.ap,verification.mean.intra.mean,verification.t.inter.balanced.auc,verification.t.inter.imbalanced.ap,verification.t.intra.balanced.auc,verification.t.intra.imbalanced.ap,val_loss,val_mse
royal-sweep-8,31060,400,relu,0,32,msssim,0,0,0.3545690273,0.1267631091,0.3068372607,0.6301067119,0.9767332849,0.9597570177,0.9907179113,0.9797249256,0.01317608025,18.28709319,0.3911444105,-0.8098895885,0.2526714815,0.09178368452,0.03583416126,0.6886335452,0.5088266451,0.3779855582,0.3577376901,0.3448784574,0.5562929528,0.4158528682,0.4643153846,0.5486368285,0.3144296758,0.1849678154,0.1686636639,0.1588899426,0.3701683318,0.2185455028,0.2806145251,0.5539036393,0.3381635249,0.2190221399,0.2034473419,0.1938620061,0.3889342844,0.2505282164,0.4244405499,0.1912342542,0.09411307253,0.08394070675,0.07781753111,0.2403415376,0.1171862981,0.1755820215,0.834033845,0.6570178164,0.8004833228,0.5758297097,0.769878345,0.5291116597,0.72985799,0.4400967238,0.7762221787,0.5458142678,0.6610182232,0.7377244854,0.4606659159,0.5991952007,0.7247543462,0.4513133272,0.6828321434,0.3660713142,-0.8084245576,0.01326824259
wise-sweep-7,14550,400,relu,0,32,bce,0,0,0.3316838492,0.09876485027,0.2783257365,0.6179609608,0.8309306083,0.7424500987,0.8617447097,0.8885970166,0.01050811867,19.49991888,0.3894075424,0.5495354496,0.2024961853,0.06742533928,0.02637302626,0.6515812365,0.4649449507,0.3366174161,0.3175208518,0.3059127062,0.5139465327,0.373245463,0.4233956337,0.5137495889,0.2786872254,0.1592476703,0.1449764494,0.1365706047,0.3343413512,0.1886727441,0.2508922219,0.5238661766,0.3057278395,0.1924269944,0.1781514138,0.1696766615,0.3569229543,0.221508041,0.4062676843,0.1735513077,0.08141594946,0.0719569163,0.06654669509,0.2224809178,0.1026058824,0.160689339,0.8178874547,0.6286182314,0.7764961779,0.539951974,0.767403017,0.517043124,0.7182080222,0.4199147325,0.7734873075,0.5330376323,0.6532624699,0.7258422748,0.4394766284,0.5826594516,0.7351714508,0.4534515417,0.6828226242,0.3585631787,0.5504760123,0.01059135702
usual-sweep-4,31745,400,elu,0,32,msssim,0,0,0.3511004845,0.1255938597,0.3055222929,0.6221853009,0.9519144032,0.9506819541,0.9847695932,0.9202916622,0.01323417318,18.33626949,0.3922007798,-0.81074824,0.2516272373,0.09010863308,0.03504570882,0.6882498468,0.5095127456,0.3778540654,0.3578690686,0.3451848555,0.5566076793,0.416276985,0.4645078778,0.544847985,0.311686009,0.1839237897,0.1679468552,0.158358498,0.3666275287,0.2171415396,0.2786474526,0.5509467721,0.3366924226,0.2181264609,0.202872172,0.1934396774,0.3869642019,0.249614194,0.4197424923,0.1888785182,0.092601447,0.08280063661,0.07677564184,0.2376574334,0.1154240356,0.1734114587,0.8297701626,0.6458937458,0.7962549071,0.5637604975,0.7628078548,0.5180298484,0.7237055766,0.4302617178,0.7699476047,0.5354827143,0.6527151595,0.7322572235,0.4510536609,0.5916554422,0.7172647968,0.4425245487,0.6768111868,0.3591387673,-0.8090571267,0.01332977507
revived-sweep-3,15318,400,elu,0,32,bce,0,0,0.3262741133,0.09563005095,0.2742656767,0.6089266123,0.7941039689,0.7181195292,0.843378841,0.8208135365,0.01049488821,19.50754988,0.3906947461,0.5494755097,0.1964646967,0.06498010358,0.02544535262,0.6448638982,0.4576232119,0.3300301075,0.3114257347,0.2998065845,0.5064836064,0.366158102,0.4166273475,0.5089812124,0.2748885004,0.1561540325,0.1419414725,0.1335595782,0.3301201547,0.1858836134,0.247361213,0.5193228126,0.3011874855,0.188664794,0.1746027917,0.1661438495,0.3522739112,0.2176642418,0.4041232827,0.1710507685,0.07981024774,0.07044110054,0.06506539427,0.2202179232,0.1009510144,0.1588085443,0.8058154651,0.6167513507,0.7649069603,0.5281862966,0.757344719,0.5090204025,0.7090192665,0.4126190661,0.7632953848,0.5244837654,0.6438895751,0.7164318178,0.4314954812,0.5739636495,0.7267259702,0.4476795429,0.6753692266,0.3536810809,0.5504358756,0.01057819929
astral-sweep-24,31351,400,relu,3,32,msssim,0,0,0.3492455709,0.1268202245,0.3024252057,0.6184912824,0.9411786796,0.9602003158,0.9707597759,0.8925759471,0.01478296593,18.42147656,0.3925728705,-0.8320318237,0.2546575418,0.09094895841,0.03485417333,0.6817704577,0.5047078593,0.3754531912,0.3556399521,0.3434291774,0.5521822056,0.412737118,0.4608457088,0.5380082053,0.3081943751,0.18273271,0.166807201,0.1572924487,0.3632802764,0.2148883827,0.2758862376,0.5438767672,0.3331271708,0.2164456099,0.2011635751,0.1919423193,0.3832097352,0.2472113371,0.4118516354,0.1864792742,0.09115085876,0.08104352196,0.07510533396,0.2341667304,0.114008484,0.1705436856,0.825332952,0.6450805823,0.7932369154,0.5654154498,0.7584654642,0.5133776581,0.7204049092,0.4275982159,0.765336833,0.531020977,0.648178905,0.7287276627,0.4488796567,0.5888036597,0.712212083,0.4346046906,0.6725411636,0.3536253044,-0.7954596485,0.01489767339
pretty-sweep-23,14373,400,relu,3,32,bce,0,0,0.3214134866,0.08585982596,0.2617231607,0.6166574731,0.7692492634,0.6422884746,0.7866421884,0.8788171273,0.0115275378,19.00937663,0.3605302777,0.447962882,0.176588493,0.05825092923,0.02274005561,0.6268636244,0.4376210555,0.3079321104,0.2891921545,0.2774735565,0.4877421433,0.3439670249,0.395827353,0.4962156748,0.2634779416,0.1454013728,0.1316902174,0.1234564465,0.3189405505,0.1747065346,0.2362698317,0.5059948564,0.2890200615,0.1760343909,0.16215837,0.153672561,0.3405349553,0.2046468854,0.3949052387,0.1659611366,0.07476965965,0.06559275827,0.06008766116,0.2149222375,0.09526713721,0.1530722529,0.8153866281,0.6197718781,0.7722272136,0.5300353069,0.7705723497,0.5152605171,0.7195757028,0.416947613,0.7756506097,0.5297971103,0.65272386,0.7261312848,0.4350508877,0.5805910862,0.7409928514,0.4543589355,0.6865909379,0.3581697433,0.5530403963,0.01162705105
eager-sweep-20,31377,400,relu,2,32,msssim,0,0,0.3514211532,0.1287507827,0.3054835796,0.6200290974,0.9546308901,0.975184235,0.9845944721,0.9041139631,0.01519388351,18.27113233,0.3960259561,-0.8142016884,0.2583047341,0.09251067057,0.03543694341,0.6862262739,0.5098848329,0.3806320776,0.3607401112,0.3485706868,0.5571295185,0.4173661863,0.4657928348,0.5409554517,0.3118313061,0.1854310848,0.1691913832,0.1596351073,0.3668365517,0.2177973442,0.2788111567,0.5468533635,0.3363672197,0.2195914984,0.204040572,0.194822982,0.3865301907,0.2501792014,0.4133783339,0.1873854388,0.09271132775,0.08219015122,0.07626318803,0.2356245689,0.1153740684,0.1718467325,0.8280292404,0.647225526,0.7960763442,0.5678791641,0.7598516995,0.5143482128,0.7220639432,0.4290125808,0.7668583055,0.5322325025,0.649545404,0.7305097213,0.4505158604,0.5905127909,0.7126939767,0.4351237686,0.6733888765,0.3546558364,-0.7976015143,0.01530832425
true-sweep-19,14340,400,relu,2,32,bce,0,0,0.3283426602,0.09321113918,0.2722445726,0.6195722687,0.8114226679,0.6993452808,0.8342362829,0.9006864399,0.01143117954,19.03942732,0.3633254495,0.4827635707,0.1914511537,0.06330484464,0.02487741918,0.6436740468,0.4568458083,0.3248750474,0.3056381848,0.2936792125,0.506916271,0.3621164122,0.4133921266,0.5080151485,0.2749589975,0.1531798938,0.138599574,0.1299707841,0.3313342153,0.1835871766,0.2456636727,0.5175935626,0.3009624481,0.1855043322,0.1711294651,0.1624693424,0.3528759181,0.21517694,0.4010913473,0.1710825334,0.07845808091,0.06915062623,0.06375803862,0.2203772124,0.09982722604,0.1576778591,0.819215844,0.6296538602,0.7766579358,0.5398786331,0.7704223422,0.5201580361,0.7198551725,0.421093374,0.7759164107,0.5353474073,0.655631909,0.7269121772,0.4401130797,0.5835126285,0.7381110459,0.4562303258,0.6842234233,0.359367232,0.5528249869,0.01153569948
sandy-sweep-16,31330,400,relu,1,32,msssim,0,0,0.3530864643,0.1298097194,0.3075667918,0.6218828817,0.965147915,0.9834031133,0.9940179788,0.9180226531,0.01486406816,18.02010783,0.3901468108,-0.8040363342,0.2596362035,0.09363633095,0.03615662384,0.6891437105,0.5134961413,0.3825887397,0.3623008578,0.3498556486,0.5600509716,0.4202277119,0.4682376981,0.5435280189,0.3146090678,0.1867569722,0.1705122144,0.1606858066,0.3693468106,0.2199406052,0.2807684839,0.549420774,0.3393822908,0.2211415917,0.2055215091,0.1961741447,0.3889822662,0.2523449957,0.4155906607,0.1900417027,0.09407905202,0.08375143684,0.07798097526,0.2375489865,0.1168666757,0.1736942232,0.8293152596,0.6494127807,0.796852534,0.5689170811,0.7611416313,0.5177392823,0.7228894572,0.43093964,0.7682470695,0.5355090703,0.6518780699,0.7314349108,0.4523404765,0.5918876936,0.7142843175,0.4393751478,0.6745627411,0.3571647084,-0.8024650966,0.01494744979
laced-sweep-15,14371,400,relu,1,32,bce,0,0,0.3424138481,0.1101207692,0.294331044,0.6227897311,0.8965201691,0.830588428,0.9341454599,0.9248266195,0.01136280873,19.03007493,0.3649012634,0.5174303427,0.2238635881,0.0762935756,0.03020514394,0.674152629,0.4924901054,0.3585034744,0.338379148,0.3255634146,0.5416545292,0.3966452686,0.4467698038,0.5323532924,0.2990741114,0.1720975711,0.1561169829,0.1468052342,0.3559556731,0.2043870077,0.2666842639,0.5413618088,0.3258145154,0.2060368061,0.1906567663,0.1812553257,0.3780801594,0.2371118665,0.4175795447,0.1858793223,0.0875094103,0.07747417992,0.07139732098,0.2366302865,0.1103033264,0.1695390791,0.8243513411,0.6436724661,0.7840877347,0.5564104265,0.7672065221,0.5250731095,0.7192207308,0.428071876,0.7737506412,0.5415129791,0.6576318102,0.7273955374,0.4484997666,0.587947652,0.7296940603,0.4557933618,0.6788781466,0.3610169974,0.5525544896,0.01144567691
